bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2022-01-01 00:00:00,-1.0,0.0,0.0,0.7957034112054981,0.0,10000.0,0.0,
541,2022-01-01 04:00:00,-1.0,-2.652815819718794,-0.9863127175238733,0.7943999695356079,-0.0007192477551246634,9992.807522448753,29.151436391817306,entry_fill
542,2022-01-01 08:00:00,-1.0,-2.652815819718794,-0.9748104986600246,0.7923467326906816,0.005824467143380918,10051.010301533384,29.151436391817306,
543,2022-01-01 12:00:00,-1.0,-2.652815819718794,-0.9915945667215434,0.792313842384338,-0.008427452224449516,9966.305892409762,29.151436391817306,
544,2022-01-01 16:00:00,-1.0,-2.652815819718794,-1.0034921871519311,0.7929371717635997,-0.005938441141265738,9907.121571471836,29.151436391817306,
545,2022-01-01 20:00:00,-1.0,-2.652815819718794,-1.0131575387652283,0.7924069500919838,-0.0048010905392060765,9859.556583824278,29.151436391817306,
546,2022-01-02 00:00:00,-1.0,-2.652815819718794,-1.0093784366417355,0.7923971356596545,0.0018807318992677402,9878.099766404112,29.151436391817306,
547,2022-01-02 04:00:00,-1.0,-2.652815819718794,-1.0032829848226252,0.7923327333343031,0.0030427312892342684,9908.156169641527,29.151436391817306,
548,2022-01-02 08:00:00,-1.0,-2.652815819718794,-1.0015627469798536,0.7899423811940657,0.0008594473719931717,9916.671708422824,29.151436391817306,
549,2022-01-02 12:00:00,-1.0,-2.652815819718794,-1.0200220429503,0.7890709729018844,-0.009138165613027605,9826.05152002123,29.151436391817306,
550,2022-01-02 16:00:00,-1.0,0.0,0.0,0.7825518581158768,-0.022859037247049185,9601.437442333641,59.30407545341734,envelope_close_sl
551,2022-01-02 20:00:00,-1.0,-2.49695709249603,-1.006275614862366,0.7594705837417479,-0.010626133959715678,9499.411281865574,87.29570782468709,entry_fill
552,2022-01-03 00:00:00,-1.0,-2.49695709249603,-0.9837134780827478,0.7599756117101042,0.011373687293501966,9607.454615257877,87.29570782468709,
553,2022-01-03 04:00:00,-1.0,-2.49695709249603,-0.996102008516515,0.7494550833030914,-0.00620636138880204,9547.827279889072,87.29570782468709,
554,2022-01-03 08:00:00,-1.0,-2.49695709249603,-1.0096246414364067,0.7358569547758403,-0.006728934668230546,9483.58057389915,87.29570782468709,
555,2022-01-03 12:00:00,-1.0,-2.49695709249603,-0.98321866112902,0.7358458694940154,0.013314709479566034,9609.851694066672,87.29570782468709,
556,2022-01-03 16:00:00,-1.0,-2.49695709249603,-0.9599757390897199,0.7215581676172648,0.011858780481688536,9723.812815768191,87.29570782468709,
557,2022-01-03 20:00:00,-1.0,-2.49695709249603,-0.9739097621268508,0.7192283318062692,-0.007059098295414068,9655.171465295476,87.29570782468709,
