bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2022-01-01 00:00:00,-1.0,0.0,0.0,0.7957034112054981,0.0,10000.0,0.0,
541,2022-01-01 04:00:00,-1.0,0.0,0.0,0.7943999695356079,-0.0007192477551246634,9992.807522448753,58.594387147552794,entry_fill;envelope_close_sl
542,2022-01-01 08:00:00,-1.0,0.0,0.0,0.7923467326906816,-0.01502899263084212,9842.625691832447,58.594387147552794,
543,2022-01-01 12:00:00,-1.0,0.0,0.0,0.792313842384338,-0.011551863378325145,9728.925024556405,116.26680533190458,entry_fill;envelope_close_sl
544,2022-01-01 16:00:00,-1.0,0.0,0.0,0.7929371717635997,-0.0042345267225498695,9687.727631558237,116.26680533190458,
545,2022-01-01 20:00:00,-1.0,-2.5537573951828283,-1.0003703934075743,0.7924069500919838,-0.007743043453474874,9612.715135541652,144.5078475574918,entry_fill
546,2022-01-02 00:00:00,-1.0,-2.5537573951828283,-0.9966626008892743,0.7923971356596545,0.0018569950259241796,9630.565899733978,144.5078475574918,
547,2022-01-02 04:00:00,-1.0,-2.5537573951828283,-0.9906817966857049,0.7923327333343031,0.003004399906367139,9659.499971021402,144.5078475574918,
548,2022-01-02 08:00:00,-1.0,-2.5537573951828283,-0.9889938315957426,0.7899423811940657,0.0008486527525366494,9667.697532259937,144.5078475574918,
549,2022-01-02 12:00:00,-1.0,0.0,0.0,0.7890709729018844,-0.013798405367657862,9534.298722737909,173.03415255059969,envelope_close_sl
550,2022-01-02 16:00:00,-1.0,0.0,0.0,0.7825518581158768,-0.00838725012424335,9454.332174591053,228.899791604652,entry_fill;envelope_close_sl
551,2022-01-02 20:00:00,-1.0,0.0,0.0,0.7594705837417479,-0.007412349925344119,9384.253356202544,228.899791604652,
552,2022-01-03 00:00:00,-1.0,-2.4216382653485207,-0.968873618946026,0.7599756117101042,0.00811087359097784,9460.367848920412,256.25509473995885,entry_fill
553,2022-01-03 04:00:00,-1.0,-2.4216382653485207,-0.9809828421232499,0.7494550833030914,-0.0061127350120029345,9402.53912714389,256.25509473995885,
554,2022-01-03 08:00:00,-1.0,-2.4216382653485207,-0.9941979947265662,0.7358569547758403,-0.006626800667868693,9340.230374576471,256.25509473995885,
555,2022-01-03 12:00:00,-1.0,-2.4216382653485207,-0.9683899105671878,0.7358458694940154,0.01311126622872294,9462.692621655147,256.25509473995885,
556,2022-01-03 16:00:00,-1.0,0.0,0.0,0.7215581676172648,0.005578184672577979,9515.47726859858,283.06329181255956,envelope_close_tp
557,2022-01-03 20:00:00,-1.0,0.0,0.0,0.7192283318062692,-0.01028099016416184,9417.648740392813,338.818498567264,entry_fill;envelope_close_sl
558,2022-01-04 00:00:00,-1.0,0.0,0.0,0.719749229118779,-0.005513078461327536,9365.728503965805,338.818498567264,
559,2022-01-04 04:00:00,-1.0,-2.471104728505143,-1.0013367827811133,0.7188480348791211,-0.008245835510541477,9288.500247285714,366.1195569863256,entry_fill
560,2022-01-04 08:00:00,-1.0,0.0,0.0,0.718388276557396,-0.007653967140438422,9217.406371609035,393.6963833964782,envelope_close_sl
561,2022-01-04 12:00:00,-1.0,0.0,0.0,0.7216421993210371,-0.006446683209135884,9157.9846727214,447.7052111399162,entry_fill;envelope_close_sl
562,2022-01-04 16:00:00,-1.0,0.0,0.0,0.7142954407335123,-0.009351030740482269,9072.348076525917,447.7052111399162,
563,2022-01-04 20:00:00,-1.0,-2.3509511346411496,-0.9769735827998699,0.7125538796897197,0.003967334018788238,9108.341111680207,474.1506052255769,entry_fill
564,2022-01-05 00:00:00,-1.0,-2.3509511346411496,-0.9894722230904006,0.7111416912067131,-0.006282389945166278,9051.118961063043,474.1506052255769,
565,2022-01-05 04:00:00,-1.0,-2.3509511346411496,-0.9927278900638586,0.7112215769167524,-0.0016337739787209982,9036.33147842615,474.1506052255769,
566,2022-01-05 08:00:00,-1.0,-2.3509511346411496,-0.9803369113308723,0.7067348837224617,0.006257005392410253,9092.871853214268,474.1506052255769,
567,2022-01-05 12:00:00,-1.0,-2.3509511346411496,-0.9954430315832082,0.7066843521781098,-0.007570308955575977,9024.036003991976,474.1506052255769,
568,2022-01-05 16:00:00,-1.0,0.0,0.0,0.7037040543613761,0.0194116173446639,9199.207137805939,500.0670914295244,envelope_close_tp
569,2022-01-05 20:00:00,-1.0,0.0,0.0,0.717632934104343,0.027974607807592422,9456.551349626865,553.1646263104712,entry_fill;envelope_close_tp
570,2022-01-06 00:00:00,-1.0,0.0,0.0,0.7141995926864103,-0.013609914252442512,9327.848496634624,553.1646263104712,
571,2022-01-06 04:00:00,-1.0,-2.6719098575831084,-0.9933413752123603,0.7195581917231547,-0.004242779865360924,9288.272488845965,580.3566445226866,entry_fill
572,2022-01-06 08:00:00,-1.0,0.0,0.0,0.7194838497929853,0.018304441379110914,9458.289128131255,607.0048223706575,envelope_close_tp
573,2022-01-06 12:00:00,-1.0,0.0,0.0,0.7249642226278226,-0.017029474002073663,9297.219439319648,662.4250878633787,entry_fill;envelope_close_sl
574,2022-01-06 16:00:00,-1.0,0.0,0.0,0.7269031588158901,0.0013144271889604653,9309.43995733242,662.4250878633787,
575,2022-01-06 20:00:00,-1.0,-2.667828095393421,-0.9679886672238613,0.7270316312996595,0.008583658350117762,9389.349009357098,689.5633638156049,entry_fill
576,2022-01-07 00:00:00,-1.0,0.0,0.0,0.7279647646812816,0.005354341048851907,9439.622786179896,716.1588742487866,envelope_close_tp
577,2022-01-07 04:00:00,-1.0,0.0,0.0,0.7479761792941899,0.008116443812465457,9516.238954134795,770.644229765173,entry_fill;envelope_close_tp
578,2022-01-07 08:00:00,-1.0,0.0,0.0,0.7458885741095108,0.005820315720438618,9571.626469318997,770.644229765173,
579,2022-01-07 12:00:00,-1.0,0.0,0.0,0.7427328180544889,0.025826438870527157,9818.827495220383,826.7317180925739,entry_fill;envelope_close_sl
580,2022-01-07 16:00:00,-1.0,0.0,0.0,0.7400991377083632,-0.040518304359664414,9420.985254314002,826.7317180925739,
