bar,datetime,target_position,net_return,economic_equity,trade_cost,commission_paid_cum,termination_cause
540,2024-01-01 00:00:00,0.0,0.0,10000.0,0.0,0.0,
541,2024-01-01 04:00:00,0.0,0.0,10000.0,0.0,0.0,
542,2024-01-01 08:00:00,0.0,0.0,10000.0,0.0,0.0,
543,2024-01-01 12:00:00,0.0,0.0,10000.0,0.0,0.0,
544,2024-01-01 16:00:00,0.0,0.0,10000.0,0.0,0.0,
545,2024-01-01 20:00:00,0.0,0.0,10000.0,0.0,0.0,
546,2024-01-02 00:00:00,0.0,0.0,10000.0,0.0,0.0,
547,2024-01-02 04:00:00,0.0,0.0,10000.0,0.0,0.0,
548,2024-01-02 08:00:00,0.0,0.0,10000.0,0.0,0.0,
549,2024-01-02 12:00:00,0.0,0.0,10000.0,0.0,0.0,
550,2024-01-02 16:00:00,0.0,0.0,10000.0,0.0,0.0,
551,2024-01-02 20:00:00,0.0,0.0,10000.0,0.0,0.0,
552,2024-01-03 00:00:00,0.0,0.0,10000.0,0.0,0.0,
553,2024-01-03 04:00:00,0.0,0.0,10000.0,0.0,0.0,
554,2024-01-03 08:00:00,0.0,0.0,10000.0,0.0,0.0,
555,2024-01-03 12:00:00,0.0,0.0,10000.0,0.0,0.0,
556,2024-01-03 16:00:00,0.0,0.0,10000.0,0.0,0.0,
557,2024-01-03 20:00:00,0.0,0.0,10000.0,0.0,0.0,
558,2024-01-04 00:00:00,0.0,0.0,10000.0,0.0,0.0,
559,2024-01-04 04:00:00,0.0,0.0,10000.0,0.0,0.0,
560,2024-01-04 08:00:00,0.0,0.0,10000.0,0.0,0.0,
561,2024-01-04 12:00:00,0.0,0.0,10000.0,0.0,0.0,
562,2024-01-04 16:00:00,0.0,0.0,10000.0,0.0,0.0,
563,2024-01-04 20:00:00,0.0,0.0,10000.0,0.0,0.0,
564,2024-01-05 00:00:00,0.0,0.0,10000.0,0.0,0.0,
565,2024-01-05 04:00:00,0.0,0.0,10000.0,0.0,0.0,
566,2024-01-05 08:00:00,0.0,0.0,10000.0,0.0,0.0,
567,2024-01-05 12:00:00,0.0,0.0,10000.0,0.0,0.0,
568,2024-01-05 16:00:00,0.0,0.0,10000.0,0.0,0.0,
569,2024-01-05 20:00:00,0.0,0.0,10000.0,0.0,0.0,
570,2024-01-06 00:00:00,0.0,0.0,10000.0,0.0,0.0,
571,2024-01-06 04:00:00,0.0,0.0,10000.0,0.0,0.0,
572,2024-01-06 08:00:00,0.0,0.0,10000.0,0.0,0.0,
573,2024-01-06 12:00:00,0.0,0.0,10000.0,0.0,0.0,
574,2024-01-06 16:00:00,0.0,0.0,10000.0,0.0,0.0,
575,2024-01-06 20:00:00,0.0,0.0,10000.0,0.0,0.0,
576,2024-01-07 00:00:00,0.0,0.0,10000.0,0.0,0.0,
577,2024-01-07 04:00:00,0.0,0.0,10000.0,0.0,0.0,
578,2024-01-07 08:00:00,0.0,0.0,10000.0,0.0,0.0,
579,2024-01-07 12:00:00,0.0,0.0,10000.0,0.0,0.0,
580,2024-01-07 16:00:00,0.0,0.0,10000.0,0.0,0.0,
581,2024-01-07 20:00:00,0.0,0.0,10000.0,0.0,0.0,
582,2024-01-08 00:00:00,0.0,0.0,10000.0,0.0,0.0,
583,2024-01-08 04:00:00,0.0,0.0,10000.0,0.0,0.0,
584,2024-01-08 08:00:00,0.0,0.0,10000.0,0.0,0.0,
585,2024-01-08 12:00:00,0.0,0.0,10000.0,0.0,0.0,
586,2024-01-08 16:00:00,0.0,0.0,10000.0,0.0,0.0,
587,2024-01-08 20:00:00,0.0,0.0,10000.0,0.0,0.0,
588,2024-01-09 00:00:00,0.0,0.0,10000.0,0.0,0.0,
589,2024-01-09 04:00:00,0.0,0.0,10000.0,0.0,0.0,
590,2024-01-09 08:00:00,0.0,0.0,10000.0,0.0,0.0,
591,2024-01-09 12:00:00,0.0,0.0,10000.0,0.0,0.0,
592,2024-01-09 16:00:00,0.0,0.0,10000.0,0.0,0.0,
593,2024-01-09 20:00:00,0.0,0.0,10000.0,0.0,0.0,
594,2024-01-10 00:00:00,0.0,0.0,10000.0,0.0,0.0,
595,2024-01-10 04:00:00,0.0,0.0,10000.0,0.0,0.0,
596,2024-01-10 08:00:00,0.0,0.0,10000.0,0.0,0.0,
597,2024-01-10 12:00:00,0.0,0.0,10000.0,0.0,0.0,
598,2024-01-10 16:00:00,0.0,0.0,10000.0,0.0,0.0,
599,2024-01-10 20:00:00,0.0,0.0,10000.0,0.0,0.0,
600,2024-01-11 00:00:00,0.0,0.0,10000.0,0.0,0.0,
601,2024-01-11 04:00:00,0.0,0.0,10000.0,0.0,0.0,
602,2024-01-11 08:00:00,0.0,0.0,10000.0,0.0,0.0,
603,2024-01-11 12:00:00,0.0,0.0,10000.0,0.0,0.0,
604,2024-01-11 16:00:00,0.0,0.0,10000.0,0.0,0.0,
605,2024-01-11 20:00:00,0.0,0.0,10000.0,0.0,0.0,
606,2024-01-12 00:00:00,0.0,0.0,10000.0,0.0,0.0,
607,2024-01-12 04:00:00,0.0,0.0,10000.0,0.0,0.0,
608,2024-01-12 08:00:00,0.0,0.0,10000.0,0.0,0.0,
609,2024-01-12 12:00:00,0.0,0.0,10000.0,0.0,0.0,
610,2024-01-12 16:00:00,0.0,0.0,10000.0,0.0,0.0,
611,2024-01-12 20:00:00,0.0,0.0,10000.0,0.0,0.0,
612,2024-01-13 00:00:00,0.0,0.0,10000.0,0.0,0.0,
613,2024-01-13 04:00:00,0.0,0.0,10000.0,0.0,0.0,
614,2024-01-13 08:00:00,0.0,0.0,10000.0,0.0,0.0,
615,2024-01-13 12:00:00,0.0,0.0,10000.0,0.0,0.0,
616,2024-01-13 16:00:00,0.0,0.0,10000.0,0.0,0.0,
617,2024-01-13 20:00:00,0.0,0.0,10000.0,0.0,0.0,
618,2024-01-14 00:00:00,0.0,0.0,10000.0,0.0,0.0,
619,2024-01-14 04:00:00,0.0,0.0,10000.0,0.0,0.0,
620,2024-01-14 08:00:00,0.0,0.0,10000.0,0.0,0.0,
621,2024-01-14 12:00:00,0.0,0.0,10000.0,0.0,0.0,
622,2024-01-14 16:00:00,0.0,0.0,10000.0,0.0,0.0,
623,2024-01-14 20:00:00,0.0,0.0,10000.0,0.0,0.0,
624,2024-01-15 00:00:00,0.0,0.0,10000.0,0.0,0.0,
625,2024-01-15 04:00:00,0.0,0.0,10000.0,0.0,0.0,
626,2024-01-15 08:00:00,0.0,0.0,10000.0,0.0,0.0,
627,2024-01-15 12:00:00,0.0,0.0,10000.0,0.0,0.0,
628,2024-01-15 16:00:00,0.0,0.0,10000.0,0.0,0.0,
629,2024-01-15 20:00:00,0.0,0.0,10000.0,0.0,0.0,
630,2024-01-16 00:00:00,0.0,0.0,10000.0,0.0,0.0,
631,2024-01-16 04:00:00,0.0,0.0,10000.0,0.0,0.0,
632,2024-01-16 08:00:00,0.0,0.0,10000.0,0.0,0.0,
633,2024-01-16 12:00:00,0.0,0.0,10000.0,0.0,0.0,
634,2024-01-16 16:00:00,0.0,0.0,10000.0,0.0,0.0,
635,2024-01-16 20:00:00,0.0,0.0,10000.0,0.0,0.0,
636,2024-01-17 00:00:00,0.0,0.0,10000.0,0.0,0.0,
637,2024-01-17 04:00:00,0.0,0.0,10000.0,0.0,0.0,
638,2024-01-17 08:00:00,0.0,0.0,10000.0,0.0,0.0,
639,2024-01-17 12:00:00,0.0,0.0,10000.0,0.0,0.0,
640,2024-01-17 16:00:00,0.0,0.0,10000.0,0.0,0.0,
641,2024-01-17 20:00:00,0.0,0.0,10000.0,0.0,0.0,
642,2024-01-18 00:00:00,0.0,0.0,10000.0,0.0,0.0,
643,2024-01-18 04:00:00,0.0,0.0,10000.0,0.0,0.0,
644,2024-01-18 08:00:00,0.0,0.0,10000.0,0.0,0.0,
645,2024-01-18 12:00:00,0.0,0.0,10000.0,0.0,0.0,
646,2024-01-18 16:00:00,0.0,0.0,10000.0,0.0,0.0,
647,2024-01-18 20:00:00,0.0,0.0,10000.0,0.0,0.0,
648,2024-01-19 00:00:00,0.0,0.0,10000.0,0.0,0.0,
649,2024-01-19 04:00:00,0.0,0.0,10000.0,0.0,0.0,
650,2024-01-19 08:00:00,0.0,0.0,10000.0,0.0,0.0,
651,2024-01-19 12:00:00,0.0,0.0,10000.0,0.0,0.0,
652,2024-01-19 16:00:00,0.0,0.0,10000.0,0.0,0.0,
653,2024-01-19 20:00:00,0.0,0.0,10000.0,0.0,0.0,
654,2024-01-20 00:00:00,0.0,0.0,10000.0,0.0,0.0,
655,2024-01-20 04:00:00,0.0,0.0,10000.0,0.0,0.0,
656,2024-01-20 08:00:00,0.0,0.0,10000.0,0.0,0.0,
657,2024-01-20 12:00:00,0.0,0.0,10000.0,0.0,0.0,
658,2024-01-20 16:00:00,0.0,0.0,10000.0,0.0,0.0,
659,2024-01-20 20:00:00,0.0,0.0,10000.0,0.0,0.0,
660,2024-01-21 00:00:00,0.0,0.0,10000.0,0.0,0.0,
661,2024-01-21 04:00:00,0.0,0.0,10000.0,0.0,0.0,
662,2024-01-21 08:00:00,0.0,0.0,10000.0,0.0,0.0,
663,2024-01-21 12:00:00,0.0,0.0,10000.0,0.0,0.0,
664,2024-01-21 16:00:00,0.0,0.0,10000.0,0.0,0.0,
665,2024-01-21 20:00:00,0.0,0.0,10000.0,0.0,0.0,
666,2024-01-22 00:00:00,0.0,0.0,10000.0,0.0,0.0,
667,2024-01-22 04:00:00,0.0,0.0,10000.0,0.0,0.0,
668,2024-01-22 08:00:00,0.0,0.0,10000.0,0.0,0.0,
669,2024-01-22 12:00:00,0.0,0.0,10000.0,0.0,0.0,
670,2024-01-22 16:00:00,0.0,0.0,10000.0,0.0,0.0,
671,2024-01-22 20:00:00,0.0,0.0,10000.0,0.0,0.0,
672,2024-01-23 00:00:00,0.0,0.0,10000.0,0.0,0.0,
673,2024-01-23 04:00:00,0.0,0.0,10000.0,0.0,0.0,
674,2024-01-23 08:00:00,0.0,0.0,10000.0,0.0,0.0,
675,2024-01-23 12:00:00,0.0,0.0,10000.0,0.0,0.0,
676,2024-01-23 16:00:00,0.0,0.0,10000.0,0.0,0.0,
677,2024-01-23 20:00:00,0.0,0.0,10000.0,0.0,0.0,
678,2024-01-24 00:00:00,0.0,0.0,10000.0,0.0,0.0,
679,2024-01-24 04:00:00,0.0,0.0,10000.0,0.0,0.0,
680,2024-01-24 08:00:00,0.0,0.0,10000.0,0.0,0.0,
681,2024-01-24 12:00:00,0.0,0.0,10000.0,0.0,0.0,
682,2024-01-24 16:00:00,0.0,0.0,10000.0,0.0,0.0,
683,2024-01-24 20:00:00,0.0,0.0,10000.0,0.0,0.0,
684,2024-01-25 00:00:00,0.0,0.0,10000.0,0.0,0.0,
685,2024-01-25 04:00:00,0.0,0.0,10000.0,0.0,0.0,
686,2024-01-25 08:00:00,0.0,0.0,10000.0,0.0,0.0,
687,2024-01-25 12:00:00,0.0,0.0,10000.0,0.0,0.0,
688,2024-01-25 16:00:00,0.0,0.0,10000.0,0.0,0.0,
689,2024-01-25 20:00:00,0.0,0.0,10000.0,0.0,0.0,
690,2024-01-26 00:00:00,0.0,0.0,10000.0,0.0,0.0,
691,2024-01-26 04:00:00,0.0,0.0,10000.0,0.0,0.0,
692,2024-01-26 08:00:00,0.0,0.0,10000.0,0.0,0.0,
693,2024-01-26 12:00:00,0.0,0.0,10000.0,0.0,0.0,
694,2024-01-26 16:00:00,0.0,0.0,10000.0,0.0,0.0,
695,2024-01-26 20:00:00,0.0,0.0,10000.0,0.0,0.0,
696,2024-01-27 00:00:00,0.0,0.0,10000.0,0.0,0.0,
697,2024-01-27 04:00:00,0.0,0.0,10000.0,0.0,0.0,
698,2024-01-27 08:00:00,0.0,0.0,10000.0,0.0,0.0,
699,2024-01-27 12:00:00,0.0,0.0,10000.0,0.0,0.0,
700,2024-01-27 16:00:00,0.0,0.0,10000.0,0.0,0.0,
701,2024-01-27 20:00:00,0.0,0.0,10000.0,0.0,0.0,
702,2024-01-28 00:00:00,0.0,0.0,10000.0,0.0,0.0,
703,2024-01-28 04:00:00,0.0,0.0,10000.0,0.0,0.0,
704,2024-01-28 08:00:00,0.0,0.0,10000.0,0.0,0.0,
705,2024-01-28 12:00:00,0.0,0.0,10000.0,0.0,0.0,
706,2024-01-28 16:00:00,0.0,0.0,10000.0,0.0,0.0,
